"","{#status->#I}"
"0.0","0.025"
"0.1","0.044403597503097324"
"0.2","0.07722452851608412"
"0.30000000000000004","0.12969697744249217"
"0.4","0.20633674402035443"
"0.5","0.30422826627991256"
"0.6000000000000001","0.4086381370082662"
"0.7000000000000001","0.4979117460108968"
"0.8","0.556231600912634"
"0.9","0.5808095340053381"
"1.0","0.5782544932133492"
"1.1","0.5577206776780934"
"1.2000000000000002","0.5269389074846336"
"1.3","0.49126087301745835"
"1.4000000000000001","0.45402939940655807"
"1.5","0.4172034458078951"
"1.6","0.3818690458754425"
"1.7000000000000002","0.3485840762166946"
"1.8","0.3175936647792705"
"1.9000000000000001","0.2889605394714414"
"2.0","0.2626430228909409"
"2.1","0.23854162095658182"
"2.2","0.2165268960817469"
"2.3000000000000003","0.19645615520947682"
"2.4000000000000004","0.1781834034879298"
"2.5","0.16156520683618145"
"2.6","0.1464640478755703"
"2.7","0.13275013596089902"
"2.8000000000000003","0.12030226093097313"
"2.9000000000000004","0.10900805670558446"
"3.0","0.09876390449689709"
"3.1","0.0894746210991989"
"3.2","0.081053024925907"
"3.3000000000000003","0.07341943899842086"
"3.4000000000000004","0.06650116864642444"
"3.5","0.06023197780535518"
"3.6","0.054551578751552185"
"3.7","0.049405144186010816"
"3.8000000000000003","0.044742846679951986"
"3.9000000000000004","0.04051942793551112"
"4.0","0.03669379864309429"
"4.1000000000000005","0.03322866863880384"
"4.2","0.03009020638591573"
"4.3","0.027247726393542625"
"4.4","0.02467340295568804"
"4.5","0.02234200848543383"
"4.6000000000000005","0.02023067469142891"
"4.7","0.018318674869343618"
"4.800000000000001","0.016587225640391105"
"4.9","0.015019306549227705"
"5.0","0.013599496025477732"
"5.1000000000000005","0.012313822310595057"
"5.2","0.011149628050578049"
"5.300000000000001","0.010095447352396533"
"5.4","0.00914089419604784"
"5.5","0.008276561183798204"
"5.6000000000000005","0.007493927692729571"
"5.7","0.006785276575877628"
"5.800000000000001","0.00614361863092173"
"5.9","0.005562624123634649"
"6.0","0.005036560716286493"
"6.1000000000000005","0.004560237209155453"
"6.2","0.00412895255650078"
"6.300000000000001","0.0037384496670935232"
"6.4","0.0033848735439789912"
"6.5","0.003064733358860765"
"6.6000000000000005","0.0027748680936411888"
"6.7","0.002512415415507587"
"6.800000000000001","0.0022747834827828747"
"6.9","0.002059625406814111"
"7.0","0.001864816120686985"
"7.1000000000000005","0.0016884314287460636"
"7.2","0.0015287290319716848"
"7.300000000000001","0.0013841313434010138"
"7.4","0.0012532099251545627"
"7.5","0.0011346713943980345"
"7.6000000000000005","0.001027344659877216"
"7.7","0.0009301693636430804"
"7.800000000000001","0.000842185414356189"
"7.9","0.0007625235092342977"
"8.0","0.0006903965513854718"
"8.1","0.0006250918780427315"
"8.200000000000001","0.0005659642231688615"
"8.3","0.0005124293451075344"
"8.4","0.0004639582564884816"
"8.5","0.0004200719995129427"
"8.6","0.00038033691510815895"
"8.700000000000001","0.00034436035929811913"
"8.8","0.000311786824539215"
"8.9","0.0002822944277566805"
"9.0","0.0002555917304294637"
"9.1","0.0002314148593427164"
"9.200000000000001","0.00020952489959030708"
"9.3","0.00018970553409362737"
"9.4","0.00017176090633371803"
"9.5","0.0001555136851951969"
"9.600000000000001","0.00014080331281419702"
"9.700000000000001","0.00012748441812808072"
"9.8","0.00011542538045980233"
"9.9","0.00010450702895051415"
"10.0","9.462146499489562e-5"
"10.100000000000001","8.567099604792315e-5"
"10.200000000000001","7.756717027133189e-5"
"10.3","7.022990248367305e-5"
"10.4","6.358668277944561e-5"
"10.5","5.757185999915863e-5"
"10.600000000000001","5.212599297140404e-5"
"10.700000000000001","4.719526311737546e-5"
"10.8","4.273094261435474e-5"
"10.9","3.868891286348104e-5"
"11.0","3.502922850402971e-5"
"11.100000000000001","3.171572266636249e-5"
"11.200000000000001","2.871564956310495e-5"
"11.3","2.5999360886982342e-5"
"11.4","2.3540012817741743e-5"
"11.5","2.131330074300253e-5"
"11.600000000000001","1.9297219071695163e-5"
"11.700000000000001","1.747184376667252e-5"
"11.8","1.581913544755695e-5"
"11.9","1.4322761118136218e-5"
"12.0","1.2967932756649893e-5"
"12.100000000000001","1.1741261173931882e-5"
"12.200000000000001","1.0630623695240329e-5"
"12.3","9.625044358203253e-6"
"12.4","8.714585442986336e-6"
"12.5","7.890249262769719e-6"
"12.600000000000001","7.143889244009994e-6"
"12.700000000000001","6.468129417763243e-6"
"12.8","5.856291526461895e-6"
"12.9","5.302329025793603e-6"
"13.0","4.800767329467725e-6"
"13.100000000000001","4.346649706347528e-6"
"13.200000000000001","3.935488295283548e-6"
"13.3","3.563219753557432e-6"
"13.4","3.226165100635859e-6"
"13.5","2.9209933603931725e-6"
"13.600000000000001","2.6446886424988676e-6"
"13.700000000000001","2.3945203376529337e-6"
"13.8","2.168016132124149e-6"
"13.9","1.9629375749077767e-6"
"14.0","1.7772579560450703e-6"
"14.100000000000001","1.6091422774868433e-6"
"14.200000000000001","1.4569291185627462e-6"
"14.3","1.319114216841236e-6"
"14.4","1.1943356021174906e-6"
"14.5","1.0813601366152646e-6"
"14.600000000000001","9.790713283855667e-7"
"14.700000000000001","8.86458297467404e-7"
"14.8","8.026057857680167e-7"
"14.9","7.266851119345974e-7"
"15.0","6.579459818283964e-7"
